table,dataset,system,metric,mean,std,variance,seed,n_queries,missing_reason
Table 2,hotpotqa,w/ Dense Retriever,rar,0.0025,,,13,400,
Table 2,hotpotqa,w/ Top-10,ret,1.0,,,13,400,
Table 2,hotpotqa,w/ Top-10,sel,1.0,,,13,400,
Table 2,hotpotqa,w/ Top-10,ans,0.13527693408629488,,,13,400,
Table 2,hotpotqa,w/ Top-10,cit,0.6317499999999999,,,13,400,
Table 2,hotpotqa,w/ Top-10,rar,0.0025,,,13,400,
Table 2,hotpotqa,w/ Direct Generator,ret,1.0,,,frozen_base,400,
Table 2,hotpotqa,w/ Direct Generator,sel,0.99875,,,frozen_base,400,
Table 2,hotpotqa,w/ Direct Generator,ans,0.2575686957335708,,,frozen_base,400,
Table 2,hotpotqa,w/ Direct Generator,cit,0.45289682539682535,,,frozen_base,400,
Table 2,hotpotqa,w/ Direct Generator,rar,0.035,,,frozen_base,400,
Table 1,musique-answerable,Dense RAG,ret,0.8797916666666669,,,deterministic,400,
Table 1,musique-answerable,Dense RAG,sel,0.8789583333333336,,,deterministic,400,
Table 1,musique-answerable,Dense RAG,ans,0.15891040782966057,,,deterministic,400,
Table 1,musique-answerable,Dense RAG,cit,0.27884803921568635,,,deterministic,400,
Table 1,musique-answerable,Dense RAG,rar,0.01,,,deterministic,400,
Table 1,musique-answerable,Hybrid RAG,ret,0.8491666666666668,,,deterministic,400,
Table 1,musique-answerable,Hybrid RAG,sel,0.8491666666666668,,,deterministic,400,
Table 1,musique-answerable,Hybrid RAG,ans,0.1580589130302767,,,deterministic,400,
Table 1,musique-answerable,Hybrid RAG,cit,0.2782916666666666,,,deterministic,400,
Table 1,musique-answerable,Hybrid RAG,rar,0.01,,,deterministic,400,
Table 1,musique-answerable,Granite Rerank RAG,ret,0.8575000000000004,,,deterministic,400,
Table 1,musique-answerable,Granite Rerank RAG,sel,0.8575000000000004,,,deterministic,400,
Table 1,musique-answerable,Granite Rerank RAG,ans,0.1728774075092796,,,deterministic,400,
Table 1,musique-answerable,Granite Rerank RAG,cit,0.33118650793650795,,,deterministic,400,
Table 1,musique-answerable,Granite Rerank RAG,rar,0.01,,,deterministic,400,
Table 1,musique-answerable,Provence RAG,ret,0.8491666666666668,,,deterministic,400,
Table 1,musique-answerable,Provence RAG,sel,0.41937500000000044,,,deterministic,400,
Table 1,musique-answerable,Provence RAG,ans,0.14851816895929718,,,deterministic,400,
Table 1,musique-answerable,Provence RAG,cit,0.38205357142857144,,,deterministic,400,
Table 1,musique-answerable,Provence RAG,rar,0.0025,,,deterministic,400,
Table 1,musique-answerable,Ours,ret,0.8491666666666668,,,fixed_upstream,400,
Table 1,musique-answerable,Ours,sel,0.8491666666666668,,,fixed_upstream,400,
Table 1,musique-answerable,Ours,ans,0.05697969994648448,0.010818301266864129,0.000117035642300634,13|42|73,400,
Table 1,musique-answerable,Ours,cit,0.3802979196729196,0.1269182213853379,0.01610823491961764,13|42|73,400,
Table 1,musique-answerable,Ours,rar,0.0,0.0,0.0,13|42|73,400,
Table 2,musique-answerable,Full,ret,0.8491666666666668,,,13,400,
Table 2,musique-answerable,Full,sel,0.8491666666666668,,,13,400,
Table 2,musique-answerable,Full,ans,0.0659754673356907,,,13,400,
Table 2,musique-answerable,Full,cit,0.41527272727272707,,,13,400,
Table 2,musique-answerable,Full,rar,0.0,,,13,400,
Table 2,musique-answerable,w/ Dense Retriever,ret,0.8797916666666669,,,13,400,
Table 2,musique-answerable,w/ Dense Retriever,sel,0.8789583333333336,,,13,400,
Table 2,musique-answerable,w/ Dense Retriever,ans,0.07053152710787257,,,13,400,
Table 2,musique-answerable,w/ Dense Retriever,cit,0.4134393939393939,,,13,400,
Table 2,musique-answerable,w/ Dense Retriever,rar,0.0,,,13,400,
Table 2,musique-answerable,w/ Top-10,ret,0.8491666666666668,,,13,400,
Table 2,musique-answerable,w/ Top-10,sel,0.8491666666666668,,,13,400,
Table 2,musique-answerable,w/ Top-10,ans,0.0659754673356907,,,13,400,
Table 2,musique-answerable,w/ Top-10,cit,0.41527272727272707,,,13,400,
Table 2,musique-answerable,w/ Top-10,rar,0.0,,,13,400,
Table 2,musique-answerable,w/ Direct Generator,ret,0.8491666666666668,,,frozen_base,400,
Table 2,musique-answerable,w/ Direct Generator,sel,0.8491666666666668,,,frozen_base,400,
Table 2,musique-answerable,w/ Direct Generator,ans,0.1580589130302767,,,frozen_base,400,
Table 2,musique-answerable,w/ Direct Generator,cit,0.2782916666666666,,,frozen_base,400,
Table 2,musique-answerable,w/ Direct Generator,rar,0.01,,,frozen_base,400,
Table 1,rgb-noise,Dense RAG,ret,0.4667065332990382,,,deterministic,300,
Table 1,rgb-noise,Dense RAG,sel,0.4624570886708602,,,deterministic,300,
Table 1,rgb-noise,Dense RAG,ans,0.0,,,deterministic,300,
Table 1,rgb-noise,Dense RAG,cit,0.8045841569278105,,,deterministic,300,
Table 1,rgb-noise,Dense RAG,rar,0.0,,,deterministic,300,
Table 1,rgb-noise,Hybrid RAG,ret,0.4785090095313425,,,deterministic,300,
Table 1,rgb-noise,Hybrid RAG,sel,0.4627403637569404,,,deterministic,300,
Table 1,rgb-noise,Hybrid RAG,ans,0.006666666666666667,,,deterministic,300,
Table 1,rgb-noise,Hybrid RAG,cit,0.7911049864241353,,,deterministic,300,
Table 1,rgb-noise,Hybrid RAG,rar,0.006666666666666667,,,deterministic,300,
Table 1,rgb-noise,Granite Rerank RAG,ret,0.52579077998668,,,deterministic,300,
Table 1,rgb-noise,Granite Rerank RAG,sel,0.49138753807481533,,,deterministic,300,
Table 1,rgb-noise,Granite Rerank RAG,ans,0.0033333333333333335,,,deterministic,300,
Table 1,rgb-noise,Granite Rerank RAG,cit,0.8175756083947576,,,deterministic,300,
Table 1,rgb-noise,Granite Rerank RAG,rar,0.0033333333333333335,,,deterministic,300,
Table 1,rgb-noise,Provence RAG,ret,0.4785090095313425,,,deterministic,300,
Table 1,rgb-noise,Provence RAG,sel,0.46489503203873256,,,deterministic,300,
Table 1,rgb-noise,Provence RAG,ans,0.0,,,deterministic,300,
Table 1,rgb-noise,Provence RAG,cit,0.7346475191475198,,,deterministic,300,
Table 1,rgb-noise,Provence RAG,rar,0.0,,,deterministic,300,
Table 1,rgb-noise,Ours,ret,0.4785090095313425,,,fixed_upstream,300,
Table 1,rgb-noise,Ours,sel,0.4624839535005302,,,fixed_upstream,300,
Table 1,rgb-noise,Ours,ans,0.0,0.0,0.0,13|42|73,300,
Table 1,rgb-noise,Ours,cit,0.906851851851852,0.002245251046848575,5.041152263374623e-06,13|42|73,300,
Table 1,rgb-noise,Ours,rar,0.0,0.0,0.0,13|42|73,300,
Table 2,rgb-noise,Full,ret,0.4785090095313425,,,13,300,
Table 2,rgb-noise,Full,sel,0.4624839535005302,,,13,300,
Table 2,rgb-noise,Full,ans,0.0,,,13,300,
Table 2,rgb-noise,Full,cit,0.9055555555555557,,,13,300,
Table 2,rgb-noise,Full,rar,0.0,,,13,300,
Table 2,rgb-noise,w/ Dense Retriever,ret,0.4667065332990382,,,13,300,
Table 2,rgb-noise,w/ Dense Retriever,sel,0.46220067841445,,,13,300,
Table 2,rgb-noise,w/ Dense Retriever,ans,0.0,,,13,300,
Table 2,rgb-noise,w/ Dense Retriever,cit,0.8947222222222223,,,13,300,
Table 2,rgb-noise,w/ Dense Retriever,rar,0.0,,,13,300,
Table 2,rgb-noise,w/ Top-10,ret,0.4785090095313425,,,13,300,
Table 2,rgb-noise,w/ Top-10,sel,0.4627403637569404,,,13,300,
Table 2,rgb-noise,w/ Top-10,ans,0.0,,,13,300,
Table 2,rgb-noise,w/ Top-10,cit,0.9055555555555557,,,13,300,
Table 2,rgb-noise,w/ Top-10,rar,0.0,,,13,300,
Table 2,rgb-noise,w/ Direct Generator,ret,0.4785090095313425,,,frozen_base,300,
Table 2,rgb-noise,w/ Direct Generator,sel,0.4624839535005302,,,frozen_base,300,
Table 2,rgb-noise,w/ Direct Generator,ans,0.006666666666666667,,,frozen_base,300,
Table 2,rgb-noise,w/ Direct Generator,cit,0.7911049864241353,,,frozen_base,300,
Table 2,rgb-noise,w/ Direct Generator,rar,0.006666666666666667,,,frozen_base,300,
