qid,q2d,global_corroborate,gated_corroborate
1116,0.3333333333333333,0.3333333333333333,0.3333333333333333
1117,0.0,0.0,0.0
1118,0.0,0.0,0.0
1119,0.2,0.3333333333333333,0.3333333333333333
112,0.14285714285714285,0.14285714285714285,0.14285714285714285
1120,0.0,0.0,0.0
1121,0.5,0.5,0.3333333333333333
1122,0.3333333333333333,0.25,0.25
1123,0.0,0.0,0.0
1124,0.5,0.25,0.14285714285714285
1125,1.0,0.16666666666666666,0.16666666666666666
1126,0.0,0.0,0.0
1127,0.0625,0.0625,0.0625
1128,0.25,0.25,0.25
1129,1.0,1.0,1.0
113,0.07692307692307693,0.1111111111111111,0.14285714285714285
1130,1.0,1.0,1.0
1131,1.0,0.5,0.5
1132,0.5,0.5,0.5
1133,0.05555555555555555,0.05555555555555555,0.05555555555555555
1134,0.14285714285714285,0.2,0.14285714285714285
1135,0.3333333333333333,0.3333333333333333,0.3333333333333333
1136,0.0,0.0,0.0
1137,0.0,0.0,0.0
1138,0.5,0.3333333333333333,0.25
1139,0.5,0.5,0.5
114,0.0,0.0,0.0
1140,0.0,0.0,0.0
1141,0.5,0.25,0.5
1142,0.3333333333333333,0.3333333333333333,0.3333333333333333
1143,0.5,0.5,0.5
1144,1.0,1.0,1.0
1145,1.0,1.0,1.0
1146,0.0,0.0,0.0
1147,0.25,0.25,0.25
1148,0.08333333333333333,0.3333333333333333,0.3333333333333333
1149,0.5,1.0,1.0
115,0.0,0.0,0.0
1150,0.0,0.0,0.0
1151,0.0,0.0,0.0
1152,0.0,0.0,0.0
1153,0.2,0.25,0.25
1154,1.0,1.0,1.0
1155,0.0,0.0,0.0
1156,0.0,0.0,0.0
1157,0.07692307692307693,0.07692307692307693,0.07692307692307693
1158,0.1,0.1,0.1
1159,0.0625,0.05263157894736842,0.0625
116,0.0,0.0,0.0
1160,0.0,0.0,0.0
1161,1.0,0.5,0.5
1162,0.3333333333333333,0.3333333333333333,0.3333333333333333
1163,0.2,0.25,0.25
1164,1.0,1.0,1.0
1165,0.5,0.5,0.5
1166,0.2,0.2,0.2
1167,0.0,0.0,0.0
1168,0.3333333333333333,0.3333333333333333,0.3333333333333333
1169,0.5,0.5,0.5
117,1.0,0.5,0.5
1170,0.25,0.25,0.25
1171,0.0,0.0,0.0
1172,0.0,0.0,0.0
1173,0.5,1.0,1.0
1174,0.5,0.5,0.5
1175,1.0,0.3333333333333333,0.3333333333333333
1176,0.5,0.5,0.5
1177,0.07692307692307693,0.06666666666666667,0.07692307692307693
1178,0.09090909090909091,0.125,0.125
1179,0.0,0.0,0.0
118,1.0,0.5,1.0
1180,1.0,0.5,0.5
1181,0.0,0.0,0.0
1182,0.25,0.3333333333333333,0.3333333333333333
1183,0.09090909090909091,0.06666666666666667,0.09090909090909091
1184,0.05263157894736842,0.05263157894736842,0.05263157894736842
1185,0.0,0.0,0.0
1186,1.0,0.5,0.5
1187,0.16666666666666666,0.16666666666666666,0.16666666666666666
1188,0.1,0.3333333333333333,0.3333333333333333
1189,1.0,1.0,1.0
119,1.0,1.0,1.0
1190,0.0,0.0,0.0
1191,1.0,0.16666666666666666,0.16666666666666666
1192,1.0,1.0,1.0
1193,1.0,1.0,1.0
1194,0.0,0.0,0.0
1195,1.0,1.0,1.0
1196,0.5,1.0,1.0
1197,0.0,0.0,0.0
1198,0.0,0.0,0.0
1199,0.07142857142857142,0.2,0.07142857142857142
12,0.2,0.3333333333333333,0.2
120,1.0,1.0,1.0
1200,1.0,1.0,1.0
1201,1.0,1.0,1.0
1202,0.07142857142857142,0.25,0.25
1203,0.0,0.0,0.0
1204,1.0,1.0,1.0
1205,1.0,1.0,1.0
1206,0.5,0.5,0.5
1207,0.3333333333333333,0.3333333333333333,0.3333333333333333
1208,0.14285714285714285,0.14285714285714285,0.14285714285714285
1209,0.0,0.0,0.0
121,0.0,0.0,0.0
1210,1.0,1.0,1.0
1211,0.0,0.0,0.0
1212,0.0,0.0,0.0
1213,0.5,0.5,0.5
1214,0.0,0.0,0.0
1215,0.3333333333333333,0.1111111111111111,0.1111111111111111
1216,0.25,0.25,0.25
1217,0.14285714285714285,0.1111111111111111,0.14285714285714285
1218,0.0,0.0,0.0
1219,1.0,1.0,1.0
122,0.125,0.5,0.5
1220,0.0625,0.058823529411764705,0.0625
1221,0.0,0.0,0.0
1222,0.2,0.2,0.2
1223,0.05,0.25,0.25
1224,1.0,1.0,1.0
1225,0.0625,0.058823529411764705,0.0625
1226,0.14285714285714285,0.125,0.125
1227,0.5,0.5,0.5
1228,0.0,0.0,0.0
1229,0.125,0.2,0.2
123,0.5,0.5,0.5
1230,0.05555555555555555,0.1111111111111111,0.1111111111111111
1231,0.5,0.3333333333333333,0.3333333333333333
1232,0.16666666666666666,0.16666666666666666,0.16666666666666666
1233,0.07692307692307693,0.2,0.2
1234,1.0,1.0,1.0
1235,0.3333333333333333,1.0,1.0
1236,0.5,1.0,1.0
1237,0.0,0.0,0.0
1238,0.07142857142857142,0.058823529411764705,0.058823529411764705
1239,0.0,0.0,0.0
124,1.0,1.0,1.0
1240,0.5,0.2,0.2
1241,1.0,0.3333333333333333,0.3333333333333333
1242,0.0,0.0,0.0
1243,0.0,0.0,0.0
1244,0.0,0.0,0.0
1245,0.125,0.3333333333333333,0.3333333333333333
1246,1.0,1.0,1.0
1247,0.14285714285714285,0.06666666666666667,0.0625
1248,0.05555555555555555,0.05263157894736842,0.05263157894736842
1249,1.0,1.0,1.0
125,0.0,0.0,0.0
1250,0.2,0.3333333333333333,0.3333333333333333
1251,0.5,1.0,1.0
1252,0.16666666666666666,0.1,0.1
1253,0.07692307692307693,0.1111111111111111,0.125
1254,0.0,0.0,0.0
1255,0.25,0.3333333333333333,0.3333333333333333
1256,0.08333333333333333,0.058823529411764705,0.058823529411764705
1257,1.0,1.0,1.0
1258,0.0,0.0,0.0
1259,0.0,0.0,0.0
126,0.0,0.0,0.0
1260,0.1111111111111111,0.3333333333333333,0.3333333333333333
1261,0.5,0.16666666666666666,0.16666666666666666
1262,0.1111111111111111,0.1111111111111111,0.1111111111111111
1263,0.09090909090909091,0.25,0.09090909090909091
1264,0.25,0.5,0.5
1265,0.3333333333333333,0.3333333333333333,0.3333333333333333
1266,0.0,0.0,0.0
1267,0.3333333333333333,0.3333333333333333,0.3333333333333333
