qid,q2d,q2d_corroborate
1186,1.0,1.0
1187,1.0,1.0
1188,1.0,1.0
1189,1.0,1.0
119,1.0,1.0
1190,0.0,0.0
1191,1.0,1.0
1192,1.0,1.0
1193,1.0,1.0
1194,0.0,0.0
1195,1.0,1.0
1196,1.0,1.0
1197,0.0,0.0
1198,0.0,0.0
1199,0.0,0.0
12,1.0,1.0
120,1.0,1.0
1200,1.0,1.0
1201,1.0,1.0
1202,0.0,0.0
1203,0.0,0.0
1204,1.0,1.0
1205,1.0,1.0
1206,1.0,1.0
1207,1.0,0.0
1208,1.0,1.0
1209,0.0,0.0
121,0.0,0.0
1210,1.0,1.0
1211,0.0,0.0
1212,0.0,0.0
1213,1.0,1.0
1214,0.0,0.0
1215,1.0,1.0
1216,1.0,1.0
1217,1.0,1.0
1218,0.0,0.0
1219,1.0,1.0
122,1.0,1.0
1220,0.0,0.0
1221,0.0,0.0
1222,1.0,1.0
1223,0.0,0.0
1224,1.0,1.0
1225,1.0,1.0
1226,1.0,1.0
1227,1.0,1.0
1228,1.0,1.0
1229,1.0,1.0
123,1.0,1.0
1230,0.0,0.0
1231,1.0,1.0
1232,1.0,1.0
1233,0.0,0.0
1234,1.0,1.0
1235,1.0,1.0
1236,1.0,1.0
1237,0.0,0.0
1238,0.0,0.0
1239,0.0,0.0
124,1.0,1.0
1240,1.0,1.0
1241,1.0,1.0
1242,0.0,0.0
1243,0.0,0.0
1244,0.0,0.0
1245,0.0,1.0
1246,1.0,1.0
1247,0.0,0.0
1248,0.0,0.0
1249,1.0,1.0
125,0.0,0.0
1250,1.0,1.0
1251,1.0,1.0
1252,1.0,1.0
1253,0.0,1.0
1254,0.0,0.0
1255,1.0,1.0
1256,1.0,1.0
1257,1.0,1.0
1258,0.0,0.0
1259,0.0,0.0
126,0.0,0.0
1260,1.0,1.0
1261,1.0,1.0
1262,1.0,1.0
1263,1.0,1.0
1264,1.0,1.0
1265,1.0,1.0
1266,0.0,0.0
1267,1.0,1.0
